file,mean,std,rms,max,min,peak_to_peak,health_stage
2003.10.22.18.34.13,-0.095874609375,0.0810873019917896,0.1255658003392792,0.378,-0.73,1.108,Early_Degradation
2003.10.22.18.44.13,-0.095614208984375,0.082034990570923,0.1259820941130499,0.388,-0.671,1.0590000000000002,Early_Degradation
2003.10.22.18.54.13,-0.09497880859375,0.0830966433820352,0.1261970247767355,0.364,-0.552,0.916,Early_Degradation
2003.10.22.19.04.13,-0.0950252441406249,0.0893296589908823,0.1304193059379175,0.43,-0.671,1.101,Early_Degradation
2003.10.22.19.14.13,-0.095480908203125,0.0913277615195759,0.1321247766007454,0.386,-0.657,1.043,Early_Degradation
2003.10.22.19.24.13,-0.095079931640625,0.0865340127671727,0.1285611260636963,0.366,-0.566,0.932,Early_Degradation
2003.10.22.19.34.13,-0.095599658203125,0.0888374928266516,0.1305029096374028,0.554,-0.745,1.299,Early_Degradation
2003.10.22.19.44.13,-0.09536982421875,0.0889813338015023,0.1304327203245029,0.496,-0.591,1.087,Early_Degradation
2003.10.22.19.54.13,-0.0951548828125,0.0880533524415784,0.1296436115496055,0.388,-0.679,1.0670000000000002,Early_Degradation
2003.10.22.20.04.13,-0.094808837890625,0.0898765843264682,0.1306373672748943,0.413,-0.662,1.075,Early_Degradation
2003.10.22.20.14.13,-0.0951598632812499,0.0882196221035264,0.129760245410767,0.496,-0.715,1.211,Early_Degradation
2003.10.22.20.24.13,-0.09513759765625,0.0885959318208356,0.1300000706129616,0.452,-0.759,1.211,Early_Degradation
2003.10.22.20.34.13,-0.094695068359375,0.0885670370943152,0.1296568278864562,0.435,-0.627,1.062,Early_Degradation
2003.10.22.20.44.13,-0.09532451171875,0.0879467362341262,0.1296958491288368,0.388,-0.583,0.971,Early_Degradation
2003.10.22.20.54.13,-0.095287255859375,0.0910863075296964,0.1318179480781994,0.461,-0.725,1.186,Critical
2003.10.22.21.04.13,-0.0950066894531249,0.0879965296592373,0.1294962631805813,0.476,-0.869,1.345,Critical
2003.10.22.21.14.13,-0.094926904296875,0.087886580636612,0.1293630204674161,0.432,-0.586,1.018,Critical
2003.10.22.21.24.13,-0.0953127929687499,0.0874259294584244,0.1293346374236229,0.356,-0.735,1.091,Critical
2003.10.22.21.34.13,-0.09499130859375,0.0896160820547637,0.1305909596046707,0.398,-0.718,1.116,Critical
2003.10.22.21.44.13,-0.095394677734375,0.0898122186665106,0.1310190264913244,0.474,-0.664,1.138,Critical
2003.10.22.21.54.13,-0.09470537109375,0.0889320088759075,0.1299139074150406,0.469,-0.603,1.072,Critical
2003.10.22.22.04.13,-0.0950703125,0.09049102040622,0.1312501019344842,0.493,-0.935,1.428,Critical
2003.10.22.22.14.13,-0.0953724609374999,0.0894196350352583,0.1307340315744861,0.496,-0.713,1.209,Critical
2003.10.22.22.24.13,-0.095443408203125,0.0886974056417224,0.1302930918925553,0.413,-0.598,1.011,Critical
2003.10.22.22.34.13,-0.09531748046875,0.0891557643509789,0.1305135405900236,0.491,-0.703,1.194,Critical
2003.10.22.22.44.13,-0.095350537109375,0.0891164776782816,0.1305108567906684,0.466,-0.603,1.069,Critical
2003.10.22.22.54.13,-0.09593857421875,0.0885922606011832,0.1305848974027529,0.496,-0.635,1.131,Critical
2003.10.22.23.04.13,-0.094805908203125,0.0892019266288442,0.130172022416193,0.396,-0.784,1.1800000000000002,Critical
2003.10.22.23.14.13,-0.09546357421875,0.0893949071677416,0.1307836122098493,0.405,-0.833,1.238,Critical
2003.10.22.23.24.13,-0.09521025390625,0.091921609199035,0.1323410824701649,0.449,-0.747,1.196,Imminent_Failure
2003.10.22.23.34.13,-0.09520966796875,0.0892064049768201,0.1304694408664343,0.386,-0.679,1.065,Imminent_Failure
2003.10.22.23.44.13,-0.094843212890625,0.0899576044696257,0.1307180572761348,0.43,-0.566,0.996,Imminent_Failure
2003.10.22.23.54.13,-0.09509189453125,0.0901094529672826,0.1310029978634792,0.334,-0.789,1.123,Imminent_Failure
2003.10.23.00.04.13,-0.09548046875,0.0906989301041737,0.1316906001207233,0.491,-0.637,1.128,Imminent_Failure
2003.10.23.00.14.13,-0.095635107421875,0.0908437835264947,0.1319024784390322,0.383,-0.715,1.098,Imminent_Failure
2003.10.23.00.24.13,-0.095066357421875,0.0875545769033696,0.1292402489295009,0.503,-0.562,1.065,Imminent_Failure
2003.10.23.00.34.13,-0.09521845703125,0.0888565876553132,0.13023694639783,0.535,-0.569,1.104,Imminent_Failure
2003.10.23.00.44.13,-0.095118115234375,0.0903525367733233,0.1311893217253814,0.486,-0.649,1.135,Imminent_Failure
2003.10.23.00.54.13,-0.094564990234375,0.0931666170421605,0.1327483788227868,0.43,-0.654,1.084,Imminent_Failure
